Price,Close,High,Low,Open,Volume
Ticker,APLE,APLE,APLE,APLE,APLE
Date,,,,,
2015-05-18,10.162553787231445,10.162553787231445,9.614905443034633,10.162553787231445,2197500
2015-05-19,10.614225387573242,10.81183087084012,10.117389759259014,10.117389759259014,1978700
2015-05-20,10.506956100463867,10.636810749262732,10.36580946215291,10.557768976404882,717600
2015-05-21,10.303705215454102,10.535185630035773,10.17385055885725,10.501310736328652,793000
2015-05-22,10.281113624572754,10.388385298245792,10.190779923646824,10.303697588235565,536200
2015-05-26,10.298057556152344,10.416621280262092,10.224661785504049,10.303703550335026,681400
2015-05-27,10.587581634521484,10.615967222139712,10.218577657880147,10.332117842754151,652700
2015-05-28,10.51378345489502,10.615969425934768,10.400243246450925,10.462690469375143,949800
2015-05-29,10.474043846130371,10.50242835450921,10.281026157315424,10.405919510101736,565500
2015-06-01,10.491074562072754,10.502428799024692,10.360504085524358,10.40591995053248,1014500
2015-06-02,10.598941802978516,10.615973165083805,10.405924030318806,10.405924030318806,922000
2015-06-03,10.746541023254395,10.75789526183739,10.508107427010406,10.615970527949298,1165000
2015-06-04,10.735182762145996,10.746536996474505,10.632996818788174,10.735182762145996,928000
2015-06-05,10.70679759979248,10.729504984251781,10.576226078654065,10.718150750622472,711900
2015-06-08,10.712478637695312,10.72950891157355,10.576229949871141,10.61596978211969,787200
2015-06-09,10.729503631591797,10.746534979888631,10.684087785599418,10.729503631591797,959300
2015-06-10,10.70679759979248,10.752213451510398,10.701120482977826,10.729504984251781,1091800
2015-06-11,10.70679759979248,10.729504984251781,10.689766249348517,10.70679759979248,860800
2015-06-12,10.621644020080566,10.706799706254644,10.593259513222225,10.661383845601582,911600
2015-06-15,10.672737121582031,10.703960729165521,10.54784377404761,10.604613871217634,776300
2015-06-16,10.723830223083496,10.752215813392077,10.570552366615368,10.667061208065439,1251100
2015-06-17,10.803306579589844,10.80898369648834,10.6784121734216,10.684089290320095,1459800
2015-06-18,10.843049049377441,10.899819155114438,10.7578944321718,10.780601824786775,998200
2015-06-19,10.701126098632812,10.843050845079402,10.689771859045115,10.831696605491704,440600
2015-06-22,10.610296249389648,10.78060554253295,10.610296249389648,10.701128016772753,646200
2015-06-23,10.650032997131348,10.786280622426007,10.42863074137751,10.47404661647573,972200
2015-06-24,10.786283493041992,10.92253115459703,10.568286584873835,10.63868158899066,742700
2015-06-25,10.757890701293945,10.865752673707615,10.735182233754648,10.786275202918736,1194200
2015-06-26,10.93481731414795,11.100323945540511,10.814968585383113,10.86633263729499,8790200
2015-06-29,10.763598442077637,10.940518360459343,10.763598442077637,10.854912018567788,722900
2015-06-30,10.769308090209961,10.940520812363935,10.757893618454645,10.90057124976427,490900
2015-07-01,10.786426544189453,10.81496271784981,10.723649139224115,10.769305928536962,652200
2015-07-02,10.740778923034668,10.817825024867371,10.740778923034668,10.786435751319456,341500
2015-07-06,10.72935676574707,10.78072079687871,10.643750410042298,10.695114441173937,422500
2015-07-07,10.632336616516113,10.820671046485192,10.615215997410523,10.689407886803941,448500
2015-07-08,10.615219116210938,10.712239977642243,10.529612729899613,10.638046977906637,423000
2015-07-09,10.660873413085938,10.689408505609768,10.541023629689043,10.689408505609768,353900
2015-07-10,10.832084655761719,10.837791891190465,10.603800681331139,10.643750240788508,700700
2015-07-13,10.706527709960938,10.814962995567354,10.643749214839788,10.780719586295591,340900
2015-07-14,10.814963340759277,10.837791192458656,10.67799187638787,10.735063138451993,463100
2015-07-15,10.814963340759277,10.826376722337075,10.717942521813404,10.769306548816736,510500
2015-07-16,10.814963340759277,10.843498427519446,10.763599313755945,10.769306548816736,781300
2015-07-17,10.803552627563477,10.814967101654432,10.723653486015122,10.786430916427046,513000
2015-07-20,10.632336616516113,10.797843191496424,10.6209232332937,10.797843191496424,373800
2015-07-21,10.4611234664917,10.638043417461022,10.284203515522377,10.575266002400621,739000
2015-07-22,10.404057502746582,10.501078381169298,10.335572817121399,10.455421561237694,386800
2015-07-23,10.17576789855957,10.461123140906775,10.118696632381356,10.4325880520896,704800
2015-07-24,10.015968322753906,10.249959528596342,9.896119646439221,10.21000996982478,590200
2015-07-27,10.027381896972656,10.130109946655029,9.93036108211083,9.958897256213566,655500
2015-07-28,10.221433639526367,10.232848120460662,9.918956426036427,9.987442223097384,734800
2015-07-29,10.31325626373291,10.405082612735214,10.060734351304788,10.060734351304788,656800
2015-07-30,10.341950416564941,10.416558898290258,10.146819194014192,10.244384805289567,1000400
2015-07-31,10.410816192626953,10.473947183474747,10.324729174433669,10.387860165281463,316200
2015-08-03,10.428032875061035,10.473946019304636,10.376380450955022,10.445250714648274,308200
2015-08-04,10.341950416564941,10.473950627509216,10.336211134177427,10.387863581008872,341700
2015-08-05,10.382121086120605,10.473947386594997,10.34194721649504,10.410816394522909,485100
2015-08-06,10.284557342529297,10.422296817850166,10.19847030728576,10.324731219332545,814600
2015-08-07,10.382121086120605,10.428034236357801,10.215685232350864,10.215685232350864,384400
2015-08-10,10.301773071289062,10.428033957399814,10.238642080905779,10.36490296701653,445500
2015-08-11,10.31325626373291,10.359169438234062,10.05499506766009,10.232908482020001,521400
2015-08-12,10.296035766601562,10.468209834760854,10.072208164407249,10.238644045663122,1342900
2015-08-13,10.209944725036621,10.261596049486025,10.141074468011414,10.198466166423152,539300
2015-08-14,10.31325626373291,10.330474114667002,10.100908242161243,10.158299983951789,781100
2015-08-17,10.387864112854004,10.445255845011346,10.238646047107414,10.244385329788773,681500
2015-08-18,10.31325626373291,10.416561180024608,10.273082372876456,10.336213398311699,515500
2015-08-19,10.284557342529297,10.34194906424367,10.221426339177883,10.34194906424367,550700
